Время найдено	№ блока	трудность	Область	Усилие	Вознаграждение за блок	Вознаграждение	Статус
09.02.2021, 03:33:37	7703281	340512365357	eu-de	12%	1.971258 CFX	1.953517 CFX ()	
09.02.2021, 03:33:21	7703262	340512365357	eu-de	106%	1.975858 CFX	1.958076 CFX ()	
09.02.2021, 03:29:10	7702959	340512365357	eu-de	197%	1.920063 CFX	1.902783 CFX ()	
09.02.2021, 03:22:43	7702493	340512365357	eu-de	47%	1.884858 CFX	1.867895 CFX ()	
09.02.2021, 03:21:00	7702367	340512365357	eu-de	35%	1.935260 CFX	1.917843 CFX ()	
09.02.2021, 03:19:57	7702288	340512365357	eu-de	97%	1.987263 CFX	1.969378 CFX ()	
09.02.2021, 03:17:05	7702089	340512365357	eu-de	164%	1.948859 CFX	1.931319 CFX ()	
09.02.2021, 03:11:08	7701651	340512365357	eu-de	241%	1.942266 CFX	1.924786 CFX ()	
09.02.2021, 03:05:03	7701198	340512365357	eu-de	35%	1.983861 CFX	1.966007 CFX ()	
09.02.2021, 03:03:54	7701110	340512365357	eu-de	5.9%	1.955058 CFX	1.937463 CFX ()	
09.02.2021, 03:03:46	7701103	340512365357	eu-de	35%	1.955058 CFX	1.937463 CFX ()	
09.02.2021, 03:02:08	7700983	340512365357	eu-de	23%	1.975858 CFX	1.958075 CFX ()	
09.02.2021, 03:01:47	7700956	340512365357	eu-de	126%	1.983858 CFX	1.966003 CFX ()	
09.02.2021, 02:59:05	7700753	340512365357	eu-de	73%	1.987264 CFX	1.969379 CFX ()	
09.02.2021, 02:57:32	7700635	340512365357	eu-de	226%	1.983858 CFX	1.966003 CFX ()	
09.02.2021, 02:51:58	7700257	340512365357	eu-de	59%	1.983860 CFX	1.966005 CFX ()	
09.02.2021, 02:50:36	7700195	340512365357	eu-de	329%	1.998260 CFX	1.980276 CFX ()	
09.02.2021, 02:38:37	7699715	600255716418	eu-de	5%	1.983859 CFX	1.966005 CFX ()	
09.02.2021, 02:38:29	7699709	600255716418	eu-de	75%	1.992858 CFX	1.974922 CFX ()	
09.02.2021, 02:32:15	7699497	600255716418	eu-de	108%	1.995058 CFX	1.977103 CFX ()	
09.02.2021, 02:20:53	7699080	600255716418	eu-de	3.3%	1.996858 CFX	1.978886 CFX ()	
09.02.2021, 02:20:51	7699079	600255716418	eu-de	1.7%	1.998258 CFX	1.980274 CFX ()	
09.02.2021, 02:20:37	7699070	600255716418	eu-de	78%	1.990258 CFX	1.972346 CFX ()	
